"file","category","model","issue","resolution","code_snippet"
"Re_ Re_ [Go2] Jetson Orin NX's USB-C type port (depth-camera port) is not working(6).md","hardware","Go2","Jetson Orin NX's USB-C type port (depth-camera port) is not working.","The issue is likely due to hardware limitations. It is suggested to utilize the DP port instead, and consider using an adapter.",""
"Re_ Re_ [Go2] Jetson Orin NX's USB-C type port (depth-camera port) is not working(3).md","sensor","Go2","The USB-C type port (depth-camera port) on the Jetson Orin NX is not working.","Ensure the D435i is connected to the USB-C port marked as DP for the demo to function. The other USB-C port will not work with the demo. Use the RealSense Viewer to test both USB-C ports, as both can receive video streams, but the DP port supports higher compatible frame rates.",""
"Re_ Re_ help with updating Go2.md","environment","Go2 EDU","用户在更新 Go2 Edu 机器人时遇到问题，无法通过应用程序进行更新。","更新机器人只能通过应用程序进行 OTA（Over-the-Air）更新。确保应用程序已更新到最新版本，并使用 Wi-Fi 模式进行更新，避免使用大学校园网络，因为防火墙可能会阻止连接。建议通过移动热点连接。",""
"Re_ Re_ question about unitree go2 battery.md","hardware","Go2","The battery issue may be related to the soldering of the power board inside the battery.","You can try to repair the battery by yourself first.",""
"Re_ Re_ issue on Unitree Go2 air(3).md","control","Go2","用户在使用 Unitree Go2 air 时，机器人在长时间保持站立或坐姿时出现异常情况。","建议用户不要让机器人长时间保持站立或坐姿，且在正常使用时观察是否会再次出现相同情况。同时，建议进行 OTA 更新到最新版本。",""
"Re_ Re_ latest Go2(1).md","control","Go2","用户希望调整Go2机器人的Greeting motion的稳定性。","建议用户进入Unitree-Go主页，导航到设备设置，找到Robotdog的个人设置，修改Greeting motion的稳定性配置，降低Greeting motion的功率。","Unitree-Go homepage -> device -> data -> Robotdog -> Personal setting"
"Re_ Re_ 李恩泽 已经接受你的邀请_ Invitation_ Unitree Robotics @ Mon Jan 13, 2025 8pm - 9_45pm (CST) (support_lez@unitree.com).md","sdk","G1","用户询问关于 Unitree-explore 应用的功能支持情况。","在 unitree-explore 应用中，可以进行注册和 OTA（Over-The-Air）更新，但该功能目前仅支持单自由度（DOF）腰部的 G1 机器人，不支持三自由度（DOF）腰部的 G1 机器人。",""
"Re_ Re_ 李恩泽 已经接受你的邀请_ Invitation_ Unitree Robotics @ Mon Jan 13, 2025 8pm - 9_45pm (CST) (support_lez@unitree.com)(1).md","sdk","G1","用户询问关于 Unitree Explore 应用的功能支持情况。","在 Unitree Explore 应用中，可以进行注册和 OTA（Over-The-Air）更新。该功能目前仅支持单自由度（DOF）腰部的 G1 机器人，不支持三自由度（DOF）腰部的 G1 机器人。",""
"Re_ Re_ 李恩泽 已经接受你的邀请_ Invitation_ Unitree __ Improbable AI @ Sun Sep 1, 2024 10pm - 11pm (EDT) (support_lez@unitree.com)(6).md","sdk","","客户询问如何获取视频流数据。","建议不要直接从 ROS 主题获取视频流数据，而是使用 API。","请查看相关页面以获取更多信息。"
"Re_ Re_ 李恩泽 已经接受你的邀请_ Invitation_ Unitree __ Improbable AI @ Sun Sep 1, 2024 10pm - 11pm (EDT) (support_lez@unitree.com)(3).md","control","H1","The control logic diagram for the H1 robot is prone to misunderstanding, particularly regarding the 'zero torque mode' and 'diagnosis mode'.","When powered on, the H1 robot automatically enters 'zero torque mode'. If 'L2+R2' is pressed, it switches to 'diagnosis mode', which is intended for low-level development.",""
"Re_ Re_ 李恩泽 已经接受你的邀请_ Invitation_ Unitree __ Improbable AI @ Sun Sep 1, 2024 10pm - 11pm (EDT) (support_lez@unitree.com)(5).md","sdk","B1","客户询问如何使用与 Go1 共享的应用程序来控制 B1 机器人。","建议使用与 Go1 共享的应用程序，无需从后端创建账户。如果失败，可以通过串口读取数据，但这会更复杂。","https://www.unitree.com/app/go1 https://onedrive.live.com/?authkey=%21AKVasQNzFkMYjdA&cid=CDE1BA91EFBCF992&id=CDE1BA91EFBCF992%21888&parId=CDE1BA91EFBCF992%21214&o=OneUp"
"Re_ Re_ 李恩泽 已经接受你的邀请_ Invitation_ Unitree __ Improbable AI @ Sun Sep 1, 2024 10pm - 11pm (EDT) (support_lez@unitree.com)(4).md","control","","询问同时向地址 0x01 和 0x0A 发送电机控制消息会发生什么。","电机控制消息的地址分为两组：0x0A 和 0x01。需要进一步确认同时发送控制消息的影响。",""
"Re_ Re_ 李恩泽 已经接受你的邀请_ Invitation_ Unitree __ Improbable AI @ Sun Sep 1, 2024 10pm - 11pm (EDT) (support_lez@unitree.com)(4).md","control","","默认控制周期时间为 2000 微秒，频率为 500Hz。","确认默认控制周期和频率设置。",""
"Re_ Re_ 李恩泽 已经接受你的邀请_ Invitation_ Unitree __ Improbable AI @ Sun Sep 1, 2024 10pm - 11pm (EDT) (support_lez@unitree.com)(7).md","hardware","","出现错误，建议检查硬件连接，确保相机连接正确。","如果要在 PC 2 上运行此代码，请确保相机连接正确，并且网络端口号 'eth0' 正确。",""
"Re_ Referred by Molly.md","hardware","","客户询问关于电源供应的使用要求。","请使用一个64V的电源，电流限制不超过10A。若要使用外部电源，请断开LC40插头，并使用匹配LC40接口的电源。切勿在此情况下使用任何电机，以免损坏电源。",""
"Re_ Re_Alegany B1 robot..md","hardware","B1","建议更换整个底盘组件，而不仅仅是两个PC板。","基于更换的复杂性和相关风险，建议更换整个底盘组件。",""
"Re_ Requesting help for getting video feed in Unitree Go2 EDU.md","sdk","Go2 EDU","用户希望获取 Unitree Go2 EDU 机器人的视频流。","建议用户连接一个无驱动的无线适配器到机器人，以便通过设备访问机器人的 Wi-Fi。",""
"Re_ Re：Unitree Robotics Online Store enquiry reply.md","other","G1","需要将 G1 机器人连接到 WIFI 模式以进行升级。","使用手机应用程序连接 G1 机器人到 WIFI 模式，然后可以从后台进行升级。",""
"Re_ Re：New customer message on December 10, 2023 at 3_31 am.md","hardware","","客户需要更换遥控器的电池，并询问相关问题。","建议客户购买新的18650电池进行更换，不需要关注内部的温度传感器。",""
"Re_ Robot Heating Up.md","hardware","Go2","用户报告 Go2 和 Go2-W 的电机过热问题，询问如何监测电机温度。","每个电机监测三种不同的温度：电机外壳温度、驱动板温度和绕组温度。当前只能通过应用和 SDK 访问电机外壳温度。驱动板或绕组温度过热时，电机只会向主控制板报告错误信息，而不会提供确切的温度值。即将推出的 A1 平台将允许通过 SDK 访问所有三种温度，以便进行直接监测和提前的过热警告。",""
"Re_ Technical questions for G1.md","environment","G1","用户遇到Wifi连接问题。","请参考FAQ以获取解决方案。","https://support.unitree.com/home/en/G1_developer/FAQ"
"Re_ Technical questions for G1.md","other","G1","用户遇到扬声器问题。","请参考相关服务链接以获取解决方案。","https://support.unitree.com/home/en/G1_developer/VuiClient_Service"
"Re_ SSH Username and Password for H1 EDU.md","environment","H1 EDU","用户无法通过 ping 命令访问 H1 EDU 机器人的 pc3。","请确保 H1 机器人的 pc3 正确连接。",""
"Re_ SSH Username and Password for H1 EDU.md","other","H1 EDU","提供了 H1 EDU 机器人的 SSH 访问凭据。","SSH 访问的用户名和密码如下： H1's pc2: Username: unitree Password: Unitree0408 H1's pc3: Username: unitree Password: Unitree0408",""
"Re_ Technical questions regarding Go2 Pro.md","other","Go2 Pro","客户询问关于 Go2 Pro 的二次开发支持。","Go2 Pro 官方上不支持任何二次开发。建议使用 Go2 EDU 版本，该版本专为定制和开发而设计。",""
"Re_ Unitree Go2 Sdk _ Move function with active obstacle avoidance.md","sdk","Go2","如何在 Go2 SDK 中使用带有主动避障功能的 Move() 函数。","建议使用 ObstaclesAvoidClient 类下的另一个 Move() 函数。","https://support.unitree.com/home/en/developer/ObstaclesAvoidClient"
"Re_ Unitree L2 Lidar Not Working.md","sensor","L2 LiDAR","The L2 LiDAR is not functioning properly.","Check the serial communication between the radar and the main unit. Refer to the provided documentation for configuring the environment.","https://support.unitree.com/home/en/L2_SDK/L2_Overview_Use"
"Re_ Unitree Robotics enquiryreply—Southern Methodist University.md","environment","Go2","如何将 Go2 连接到路由器。","使用 STA 模式让 Go2 连接到您的路由器，然后检查路由器的后台。",""
"Re_ Unitree Z1.md","other","Z1","询问关于 Unitree Z1 的最大关节加速度值。","目前没有确切的最大关节加速度值，但会继续查找并尽快提供数据。","最大关节速度: 180°/s 最大扭矩: 33 N·m 保修期: 一年 关于 Z1 SDK 的更多信息，请参考 Z1 SDK 介绍页面。"
"Re_ Unitree go 2 (air) issue.md","other","Go2","用户询问关于某个按钮的使用问题，提到该按钮原本用于重置，但存在设计缺陷。","支持团队建议用户不要按下该按钮，因为按下后会删除原系统，如果新系统无法正常安装，可能导致设备变砖。",""
"Re_ Unitree H1 General safety.md","hardware","H1","There is an emergency stop issue related to the H1 robot. The previous suggestion was to use a power cut-off method, which could cause harm due to back electromotive force.","The H1 mainboard has a reserved soft emergency stop signal interface that allows for connecting a switch or signal trigger device. This soft emergency stop puts the motor into damping mode instead of cutting off all power, protecting the circuitry from damage. Additionally, the fault code reading interface is available on the H1 robot, but documentation is pending update.","Fault Service Interface"
"Re_ WiFi for SDK kit go2.md","other","Go2","客户询问关于 Go2 SDK 套件的推荐 WiFi 适配器。","目前没有官方推荐的 WiFi 适配器用于 Go2 SDK。",""
"Re_ Z1 Arm instructions and installation on AlienGo.md","control","AlienGo","用户无法通过控制器控制 Z1 臂，需确认文档中的说明是否正确。","建议用户检查控制器是否能够按照文档说明控制 Z1 臂，如果无法控制，Walter 将提供进一步的帮助。","https://support.unitree.com/home/en/Z1_developer/joystick"
"Re_ [Amazon FAR] Follow up on G1-1981 repair.md","sensor","G1","IMU chaos affecting performance.","Re-calibrate the IMU using the Unitree-explore app to improve performance.","https://global-serviceconsole.unitree.com/#/help/031306"
"Re_ [Meta Technologies] Unable to update robot software via app.md","sdk","G1","用户无法通过应用程序更新机器人软件。","建议尝试连接到另一部手机的热点，并检查SDK文档，确保阅读并尝试示例代码。","https://support.unitree.com/home/en/G1_developer/quick_start"
"Re_ [EXTERNAL] Unitree Robotics- Humanoid Robot Enquiry Reply.md","hardware","H1","询问关于H1机器人的硬件急停电路和二级计算单元的登录信息。","H1机器人不支持额外的硬件急停电路，仅支持L1+A软件停止功能。二级计算单元的登录信息为：用户名是unitree，密码是Unitree0408。","Username: unitree Password: Unitree0408"
"Re_ question about unitree go2 battery.md","hardware","Go2","The battery power supply is failing and needs to be replaced.","Check if the product is under warranty and send a new battery from China.",""
"Re_ Wifi mode issue of Go2.md","environment","Go2","用户在大学的WIFI环境中遇到连接问题，因大学WIFI存在网络防火墙，导致无法正常通信。","建议用户不要使用大学的WIFI。解决方案是，当应用显示'Connect to Robot Dog'时，强制关闭应用并重启，此时可以看到机器人已连接。",""
"Re_ 回复_ Question regarding USB cables for remotes charging.md","hardware","","The customer inquired about a charging issue with the Unitree remotes.","If the charging current is too high, the remote may not charge properly. It is recommended to use a USB-A to Type-C connection, such as connecting one end to a power bank, to charge the remote.",""
"Re_ 回复_ [EXTERNAL] Re_ Request for Guidance _ Connecting Ethernet Cable to Unitree G1 Humanoid Robot Head.md","hardware","G1","如何连接以太网电缆到 Unitree G1 人形机器人头部。","可以移除以太网端口外部的橡胶保护盖以获得更多空间。同时，可以轻轻旋转机器人的头部以便访问以太网端口并插入电缆。",""
"Re_ 回复_ Guidance on Running SLAM & Navigation Interface on Unitree Go2 EDU Plus Without MID360_Hesai XT16.md","sdk","Go2 EDU","如何与 DDS 主题进行通信。","可以参考链接 https://support.unitree.com/home/en/developer/ObstaclesAvoidClient 来了解如何与 DDS 主题进行交互。",""
"Re_ 回复_ Guidance on Running SLAM & Navigation Interface on Unitree Go2 EDU Plus Without MID360_Hesai XT16.md","sdk","Go2 EDU","关于 Go2 的导航接口和 SLAM 的运行问题。","请查看页面 https://support.unitree.com/home/en/developer/Motion_Services_Interface_V2.0，了解如何使用运动服务接口。虽然可能与 ROS2 SDK 不兼容，但可以基于 DDS 消息创建自己的 API。",""
"Re_ issue on Unitree Go2 air.md","other","Go2","客户询问关于Unitree Go2 air的重置按钮使用问题。","建议客户不要尝试任何重置按钮，因为这会对系统造成不可逆转的损害。同时提供了校准教程视频链接和校准工具的原理图。","https://www.youtube.com/watch?v=OZISUvNR4cE&list=PLGhHq8nB_7DWSOAvCGiixHZzIYOysxMyj&index=5"
"Re_ 回复：Question about Foot Sensors - UniTree Go2 robot.md","sensor","Go2","关于Go2机器人脚部传感器的问题，询问其是否能够准确提供压力方向。","该传感器仅提供气囊的压力作为参考，无法准确提供压力的方向。建议通过向机器人添加重量进行测试。",""
"Re_ 回复：G1 EDU replacement parts — right elbow actuator + Inspire hand.md","hardware","G1 EDU","客户需要更换 G1 EDU 机器人的右肘关节执行器，并询问相关的替换步骤。","请按照提供的视频链接中的步骤移除损坏的前臂，然后再次检查设备数据页面，确认问题是否仍然存在。","https://drive.google.com/file/d/1vzyqjfP1__UIjS-QhWB1TrGOQdOYQdDX/view?usp=drive_link"
"Re_ 回复：Unitree Robotics Online Store enquiry reply.md","other","G1","客户需要进行G1机器人的OTA更新，并询问何时可以进行。","请客户在WiFi模式下联系G1，并提供G1的序列号，序列号可以在电池舱内找到。",""
"Re_ 回复：Unitree Go2 Edu version_ Cannot connect to robot.md","environment","Go2 EDU","The Unitree Go2 Edu robot fails to establish a communication channel with the app after receiving Wi-Fi credentials.","To resolve the connection issue, try the following steps: 1. Kill the app, reopen it, and wait on the home screen for a few seconds before trying again. 2. Ensure that VPN is disabled on your phone. 3. Avoid using campus networks or networks with firewalls. 4. Try connecting with an iOS device for better reliability.",""
"Re_(2).md","hardware","","Thigh motor damage confirmed.","A leg with 3 motors will be sent for replacement in 3-4 weeks.",""
"Subject_ Re_ Long Endurance Battery for Go2.md","hardware","Go2","The battery charge display may be inaccurate due to the battery not being used for a while.","Fully charge the battery and then test it again. Additionally, provide a video showing the problem for further assistance.",""
"Subject_ Re_ Connection Issues with Unitree Go2 Docking Station.md","environment","Go2","Connection issues via SSH when using the Unitree Go2 docking station.","Use a native Ubuntu system instead of WSL for a more stable SSH connection. Ensure both the robot and the computer have static IP addresses assigned when connected via Ethernet to avoid IP conflicts.",""
"Re_ 回复：Unilidar bag file to ply_las_.md","other","","客户询问如何将 Unilidar 的 bag 文件转换为 ply 或 las 格式。","官方不提供相关工具，但建议客户在 GitHub 上搜索相关脚本工具，或使用 Google 和 ChatGPT 寻求帮助。","https://www.google.com/search?q=.bag+convert+*.ply&newwindow=1&sca_esv=831c6117fb1e73c8&sxsrf=ADLYWILOSpvuEQmMruoy1HpbgyZiwQY_NQ%3A1736737941913&ei=lYSEZ4C5N6WGjuMPwIKs8A8&ved=0ahUKEwjA1-GA3fGKAxUlg2MGHUABC_4Q4dUDCBA&uact=5&oq=.bag+convert+*.ply&gs_lp=Egxnd3Mtd2l6LXNlcnAiEi5iYWcgY29udmVydCAqLnBseTIFECEYoAFIqzVQ7QRYjjJwAXgAkAEAmAGvAaAB4RGqAQQwLjE2uAEDyAEA-AEB-AECmAIOoALmDsICCBAAGLADGO8FwgILEAAYgAQYsAMYogTCAggQABiABBjLAcICBBAAGB7CAgYQABgMGB7CAgYQABgNGB7CAgYQABgFGB6YAwCIBgGQBgWSBwQxLjEzoAfCLA&sclient=gws-wiz-serp"
"Solution for Obstacle Avoidance Issue with trajectoryFollow Commands.md","control","L1 LiDAR","在使用 trajectoryFollow 命令时，内置的障碍物避免功能被覆盖，因为这些命令直接控制机器人的运动。","可以使用 L1 雷达接口，通过 SDK 读取雷达数据并编写程序来检测障碍物。当雷达检测到障碍物时，可以指令机器人停止或改变路径。","Get Radar Data: Use the SDK to access the radar data. Process the Data: Analyze the radar point cloud data to detect obstacles. Implement Obstacle Avoidance: Based on the detected obstacles, stop the robot or modify its path to avoid collisions."
"Unitree Support(1).md","sdk","Go2","The Go2 Pro does not officially support any development, and the SDK is only intended for the Go2 Edu model.","While there have been instances where customers managed to unlock the Pro for Edu development, those product loopholes have now been closed.",""
"Unitree support on dog.md","sensor","Go2","Go2 的 IMU 存在 Yaw 偏移问题。","需要进行偏移设置以校正 IMU 的 Yaw 值。",""
"Unitree support(2).md","sdk","Go2","The Go2 docking station is running on Ubuntu 20.04 Foxy, while the SDK is supported with Ubuntu 22.04. There is a question about the compatibility of official SLAM demos with Foxy.","Official SLAM demos do not work on Foxy, but other SDKs can run with Ubuntu 22.04. Users can also run their own code on SLAM, as the SDK provides a way to access LiDAR point cloud. Reflashing the system will not affect any warranty, as it can be recovered at any time.",""
"Subject_ Queries Regarding Unitree Go2 EDU Implementation.md","sdk","Go2 EDU","There is an SDK installation issue on the NVIDIA board that has been reported by other customers.","We are looking into a solution for the SDK installation issue on the NVIDIA board.",""
"Subject_ Queries Regarding Unitree Go2 EDU Implementation.md","other","Go2 EDU","Due to permission issues, it is not recommended to use the internal speaker of the robot.","Instead, it is suggested to connect an external speaker to the expansion dock's computer.",""
"Subject_ Queries Regarding Unitree Go2 EDU Implementation.md","other","Go2 EDU","There is no specific ROS topic information available for customers.","If the documentation does not cover certain ROS topics, they are generally not available for customer use.",""
"Subject_ Re_ Request for Assistance with Unitree Go2 Edu Version.md","environment","Go2 EDU","如何通过Wi-Fi适配器为Unitree Go2 EDU的 docking station（如Jetson Nano或Orin NX）获取网络访问。","可以使用Wi-Fi适配器与docking station连接，类似于在Raspberry Pi上设置Wi-Fi。建议搜索如何为特定的docking station配置Wi-Fi适配器。",""
"Subject_ Re_ Request for Assistance with Unitree Go2 Edu Version.md","other","Go2 EDU","关于Go2内置麦克风或扬声器的音频集成，存在权限问题，无法使用相关库。","建议使用连接到docking station的外部外设进行音频输入和输出。",""
"Unitree-support(5).md","sdk","","客户询问如何配置网络连接。","提供了网络连接配置的教程链接，建议客户参考该链接进行配置。","https://support.unitree.com/home/en/developer/Quick_start https://support.unitree.com/home/en/developer/ROS2_service"
"Subject_ Re_ Unitree Robotics Online Store #1698 - Assistance Required.md","environment","Go2","App unable to access network from phone connection.","Check the network settings on the app and ensure that the phone's internet connection is stable. Restart the app and the phone if necessary.",""
"Subject_ Re_ Unitree Robotics Online Store #1698 - Assistance Required.md","hardware","Go2","Motor rotate speed abnormal.","Inspect the motor settings and calibrate if necessary. Ensure that there are no obstructions affecting the motor's performance.",""
"Subject_ Re_ Unitree Robotics Online Store #1698 - Assistance Required.md","sensor","Go2","Point cloud error after the latest OS update.","Reinstall the latest OS update and check for any additional patches. Verify the sensor calibration post-update.",""
"Subject_ Re_ Unitree Robotics Online Store #1698 - Assistance Required.md","sensor","Go2","No colors appear on the grid with object avoidance on, and red light error near connection and device name.","Check the object avoidance settings and ensure that the sensors are functioning correctly. Restart the robot and recheck the connections.",""
"Subject_ Re_ Unitree Robotics Online Store #1698 - Assistance Required.md","control","Go2","WiFi connection issues causing the dog to collapse when using the Pro remote as the primary control.","Ensure that the Pro remote is properly paired with the robot. Check the WiFi signal strength and consider resetting the remote.",""
"Subject_ Re_ Unitree Robotics Online Store #1698 - Assistance Required.md","sensor","Go2","Proximity sensor not activating and displaying colors after pairing the dog to the app.","Verify the proximity sensor settings in the app. Re-pair the robot with the app and check for any firmware updates.",""
"Unitree-support.md","hardware","Go2 Pro","Joystick drift issue on the Go2 Pro controller.","Open the controller by unscrewing the back panel for inspection and adjustment, which can temporarily fix the joystick drift. A replacement controller will be arranged under warranty.",""
"Unitree_Support.md","control","GO1 EDU","The 'AI' vision functionality is not loading in the Android app.","Ensure the app is updated to the latest version. If the issue persists, uninstall and reinstall the app. Additionally, try using a different Android device.",""
"Unitree_aftersale_support(1).md","control","Go2","用户询问是否进行了腿部校准，并提到如果机器人的头部 LED 显示蓝色光，表示障碍物避让功能未激活。","请在 Go2 应用中开启障碍物避让功能。",""
"WiFi Adapter Support Inquiry.md","environment","","客户询问关于 MT7601U WiFi 适配器的支持情况。","我们不支持 MT7601U WiFi 适配器。请查阅 Orin Nano 或 Orin NX 板的文档以获取有关设置 WiFi 适配器的说明。",""
"activate special trick of Go2 Pro..md","other","Go2 Pro","用户希望激活 Go2 Pro 机器人的特殊功能，如后空翻。","用户需要通过特殊功能菜单激活这些技巧。连接 Go2 Pro 机器人后，进入电机 'GO' 界面，找到右侧菜单底部的 '特殊功能' 或 '高级功能' 选项。需要提供 SN 码和蓝牙号码以获取激活密钥，输入密钥后即可执行高级技巧。",""
"回复_ Re_ Requesting help for getting video feed in Unitree Go2 EDU(1).md","sdk","Go2 EDU","请求帮助以获取 Unitree Go2 EDU 的视频流。","建议查看我们的教程，可能会对您有所帮助。","https://support.unitree.com/home/en/developer/Multimedia_Services"
"回复_ 回复_ Requesting help for getting video feed in Unitree Go2 EDU.md","other","Go2 EDU","Requesting help for getting video feed in Unitree Go2 EDU.","You can develop the docking station on the robot, which will communicate with the camera and radar inside the robot. The data is stored in the docking station. The docking station and the inside of the robot are two separate computers. The computer inside the robot is not open for access, but the docking station is freely accessible. You can access the docking station remotely with your own laptop, e.g. ssh.","ssh <DOCKING_STATION_IP>"
"回复：FW_ Bad leg.md","hardware","","A leg of the robot is broken and requires replacement.","Replace the whole calf with a motor for easier repair. Ordering a new Air is recommended as it will be faster than waiting for after-sale parts to be shipped.",""
"回复_ Re_ Requesting help for getting video feed in Unitree Go2 EDU.md","environment","Go2 EDU","如何将 Jetson Nano 连接到外部 Wi-Fi 网络。","插入无线适配器到 Jetson Nano 的 USB 端口，打开终端并使用命令连接到 Wi-Fi，最后检查连接状态。","sudo nmcli dev wifi connect ""Your_SSID"" password ""Your_Password"" ifconfig"
"回复：Go2 EDU purchase could not walk straight.md","control","Go2 EDU","The Go2 EDU robot could not walk straight.","Joint calibration will help with the problem.",""
"回复：Go1 Issue.md","hardware","Go1","用户报告了与头部纳米板的连接问题，怀疑硬件或电缆连接不良。","建议检查头部纳米板与其他板之间的硬件和电缆连接。如果在重新插拔后问题仍然存在，则需要更换头部纳米板。",""
"回复：H1-2 Loose Connection W_ RH56DFTP Hands.md","hardware","","客户报告 H1-2 机器人手部 RH56DFTP 存在松动连接的问题。","建议使用 Unitree Explore 应用程序检查电机连接状态，并要求客户发送相关截图以便进一步分析。",""
"回复：Jorge found these broken stops on the rear leg motor covers.md","hardware","","客户可能错误使用低级别电机控制命令，导致电机损坏限位部分。","需要确认机器人型号，并提醒客户正确使用电机控制命令，以避免损坏。",""
"回复：Re_ Go2 Edu Edition - No SSH Access into Jetson.md","sdk","Go2 EDU","用户无法直接通过 SSH 访问 Jetson 的 PC1。","用户应该先访问 PC2，然后使用 SDK 与 PC1 进行通信。建议查看相关文档以获取更多信息。",""
"回复：Re_ Follow-Up on Current Issues with Unitree Robot.md","hardware","L2 LiDAR","There is a wifi problem that requires further attention.","For the speaker issue, it is suggested to remove the speaker from the robot and measure it. The speaker is a cheap module and can be replaced with a communication cable and a power cable.",""
"回复：Re_ Follow-Up on Current Issues with Unitree Robot.md","other","Go2","The L2 module has not been integrated with the Go2 robot yet.","The L2 module has many improvements compared to the L1 module, although they look similar.","https://www.unitree.com/L2"
"回复：Re_ Re_ Go2.md","hardware","Go2","检查小腿插座连接状态以确认损坏情况。","确认小腿插座的连接状态，以判断是否存在损坏。","https://drive.google.com/drive/folders/1Bnli2HLPbqe782tnBxO4UMvgj3Kbe8Rf?dmr=1&ec=wgc-drive-globalnav-goto"
"回复：Re_ error 10205 unitree go2 pro.md","environment","Go2","用户遇到错误 10205，可能与网络环境有关。","建议尝试不同的网络环境，例如使用手机热点。同时，确保手机应用和狗的 OTA 更新到最新版本。",""
"回复：Re_ Re_ Go2 Pro.md","other","Go2","用户询问如何更新Go2 Pro的固件和应用程序。","建议用户将Go2 Pro的固件更新到最新版本，并升级Unitree-Go应用程序，然后检查AI模式下的功能。",""
